catalog,man,bran,year,circa,surf,textureWord,glossWord,colorWord,thicknessWord,dims,backp,postcard,toner,resin,sb,sbid,suffs,dmin,dmax,dminHex,dmaxHex,auc,roughness,gloss,thickness,expressiveness,radarGroup,expressivenessGroup,isoGroup,gep100,gep150,gep200,gep250,gep300,tmap,processing
26,Ansco,Cyko,1917,0,6 - Studio,Smooth,Slight Luster,,,3.5 x 5.5,,0,,0,0,,v,8.7,,#e4e0cf,,0.11,0.037,9.327,0.153,1.504,0_0_2_2,1.0,0.0,"[4, -2, 0]","[17, 1, 0]","[32, 1, 0]","[50, 1, 0]","[73, 0, 0]","[47.0, 18.0, 0]",1
27,Kodak,Velox,1920,0,Velvet (Velox),,Semi Glossy,,Single Weight,3.25 x 5.5,,0,,0,0,,v,8.7,,#e4e0cf,,0.24,0.048,11.379,0.162,1.536,0_0_2_3,1.0,0.0,"[-2, -10, 0]","[10, -1, 0]","[28, 0, 0]","[41, 0, 0]","[58, 0, 0]","[49.0, 36.0, 0]",0
28,Kodak,Azo,1915,0,,,,,Single Weight,3.5 x 5.5,,0,,0,0,,v,13.52,,#e1dac0,,0.102,0.031,10.917,0.134,1.554,0_0_3_2,2.0,0.0,"[0, -6, 0]","[4, -5, 0]","[7, -6, 0]","[10, -8, 0]","[15, -9, 0]","[48.0, 15.0, 0]",0
31,Darko,Darko Developing Paper,1932,0,,,Glossy,,,3.25 x 4.25,,0,,0,0,,v|b|t,8.15,,#ebe7d7,,0.225,0.021,47.108,0.169,1.29,0_2_2_1,0.0,0.0,"[20, -13, 0]","[54, -16, 0]","[96, -22, 0]","[151, -28, 0]","[218, -34, 0]","[29.0, 63.0, 1]",0
32,Defender,Commercial ,1933,0,,,Glossy,,Single Weight,8 x 10,,0,,0,0,,v,6.49,,#ebe9dc,,0.225,0.017,51.069,0.17,1.228,0_2_1_1,0.0,0.0,"[47, -20, 0]","[63, -7, 0]","[143, 3, 0]","[205, -14, 0]","[316, -23, 0]","[26.0, 46.0, 0]",0
33,Defender,Commercial ,1933,0,,,Glossy,,Single Weight,8 x 10,,0,,0,0,,v,5.96,,#eceade,,0.253,0.017,46.068,0.169,1.24,0_2_1_1,0.0,0.0,"[44, 7, 0]","[78, 8, 0]","[125, -14, 0]","[210, -2, 0]","[320, -7, 0]","[34.0, 50.0, 1]",1
34,Defender,Commercial ,1933,0,,,Glossy,,Double Weight,8 x 10,,0,,0,0,,v,5.44,,#eae8dd,,0.212,0.021,57.536,0.302,1.362,1_2_1_1,1.0,1.0,"[26, -12, 0]","[79, -16, 0]","[132, -21, 0]","[208, -27, 0]","[301, -32, 0]","[33.0, 56.0, 1]",1
36,Defender,Commercial ,1932,0,,,Glossy,,Double Weight,8 x 10,,0,,0,0,,v,5.99,,#eeebdf,,0.254,0.02,48.739,0.321,1.437,1_2_1_1,1.0,1.0,"[22, -18, 0]","[82, -19, 0]","[132, -16, 0]","[216, -24, 0]","[309, -29, 0]","[26.0, 53.0, 1]",0
37,Defender,Velour Black,1932,0,D,Platino,Matte,White,Double Weight,8 x 10,,0,,0,0,,v,10.39,,#eae2cf,,0.238,0.047,3.583,0.358,1.866,1_0_2_3,3.0,1.0,"[-5, 38, 0]","[4, 43, 0]","[15, 40, 0]","[16, 61, 0]","[25, 73, 0]","[66.0, 27.0, 0]",0
38,Defender,Veltura,1932,1,,Smooth,Matte,Buff,Double Weight,8 x 10,,0,,0,0,,v,18.67,,#ecdab8,,0.181,0.058,6.69,0.356,2.046,1_0_4_4,3.0,1.0,"[-25, 10, 0]","[-34, 27, 0]","[-60, 31, 0]","[-86, 33, 0]","[-125, 41, 0]","[76.0, 23.0, 0]",0
39,Defender,Commercial ,1932,0,,,,,,8 x 10,,0,,0,0,,v,5.46,,#eae8dd,,0.202,0.023,64.026,0.175,1.17,0_2_1_1,0.0,0.0,"[22, -25, 0]","[94, -11, 0]","[146, -22, 0]","[205, -5, 0]","[318, -23, 0]","[25.0, 64.0, 1]",0
40,Defender,Velite,1932,1,,Smooth,Matte,Buff,Double Weight,8 x 10,,0,,0,0,,v,18.77,,#eddbb9,,0.187,0.055,6.333,0.354,2.04,1_0_4_4,3.0,1.0,"[-24, 16, 0]","[-36, 20, 0]","[-57, 34, 0]","[-92, 38, 0]","[-131, 45, 0]","[65.0, 28.0, 0]",0
