catalog,man,bran,year,circa,surf,textureWord,glossWord,colorWord,thicknessWord,dims,backp,postcard,toner,resin,sb,sbid,suffs,dmin,dmax,dminHex,dmaxHex,auc,roughness,gloss,thickness,expressiveness,radarGroup,expressivenessGroup,isoGroup,gep100,gep150,gep200,gep250,gep300,tmap,processing
71,Ansco,Cyko,1915,0,6 - Studio,Smooth,Slight Luster,,,2.5 x 4.25,,0,,0,0,,v,7.93,,#e7e4d5,,0.174,0.038,10.766,0.152,1.486,0_0_2_2,1.0,0.0,"[3, -3, 0]","[19, -2, 0]","[34, -2, 0]","[52, -2, 0]","[75, -3, 0]","[52.0, 26.0, 1]",0
72,Ansco,Cyko,1916,0,6 - Studio,Smooth,Slight Luster,,,3.25 x 5.5,,0,,0,0,,v,10.59,,#e2ddc8,,0.114,0.037,16.28,0.16,1.52,0_0_2_2,1.0,0.0,"[3, -9, 0]","[17, -3, 0]","[31, -3, 0]","[49, -3, 0]","[72, -4, 0]","[57.0, 35.0, 1]",0
74,Ansco,Cyko,1917,0,6 - Studio,Smooth,Slight Luster,,,3.25 x 5.5,,0,,0,0,,v,12.2,,#dad4bd,,0.077,0.041,10.454,0.141,1.566,0_0_3_3,2.0,0.0,"[1, -3, 0]","[5, -1, 0]","[10, -1, 0]","[16, -2, 0]","[24, -2, 0]","[42.0, 22.0, 0]",0
75,Ansco,Cyko,1915,0,,,Glossy,,,4 x 5,,0,,0,0,,v,6.75,,#e4e2d5,,0.152,0.026,59.797,0.14,1.177,0_2_2_1,0.0,0.0,"[20, -17, 0]","[53, -20, 0]","[95, -26, 0]","[150, -32, 0]","[217, -38, 0]","[37.0, 41.0, 2]",0
76a,Kodak,Ektamatic SC,1984,0,A,Smooth,Luster,White,Light Weight,3.25 x 4.5,,0,,0,1,76,,2.71,0.57,#e3e1dc,#282727,2.653,,9.047,,,,,,"[664, 589, 0]","[775, 735, 0]","[706, 518, 0]","[608, 566, 0]","[580, 515, 0]","[675, 696, 0]",0
76b,Kodak,Kodabrome II,1984,0,E,Fine Grained,Luster,White,Medium Weight,3.25 x 4.5,K11,0,,1,1,76,,1.21,1.53,#e5e5e2,#201d1b,3.006,,32.029,,,,,,"[540, 752, 0]","[698, 716, 0]","[652, 687, 0]","[785, 787, 0]","[635, 589, 0]","[646, 546, 0]",0
76c,Kodak,Polyprint,1984,0,F,Smooth,Glossy,White,Medium Weight,3.25 x 4.5,K11,0,,1,1,76,,0.93,-0.01,#d9d9d7,#181617,2.629,,93.128,,,,,,"[795, 641, 0]","[623, 702, 0]","[626, 551, 0]","[613, 539, 0]","[507, 789, 0]","[607, 750, 0]",0
76d,Kodak,Polycontrast Rapid II,1984,0,F,Smooth,Glossy,White,Medium Weight,3.25 x 4.5,K11,0,,1,1,76,,1.49,2.3,#e0dfdc,#1c1816,2.367,,86.094,,,,,,"[680, 629, 0]","[654, 572, 0]","[757, 606, 0]","[579, 691, 0]","[696, 516, 0]","[740, 764, 0]",0
76e,Kodak,Polyfiber,1984,0,G,Fine Grained,Luster,Cream White,Double Weight,3.25 x 4.5,,0,,0,1,76,,8.0,1.32,#e7e1d2,#232220,0.133,,9.947,,,,,,"[714, 641, 0]","[594, 695, 0]","[714, 767, 0]","[555, 764, 0]","[589, 534, 0]","[768, 685, 0]",0
76f,Kodak,Ektalure,1984,0,K,Fine Grained,High Luster,White,Double Weight,3.25 x 4.5,,0,,0,1,76,,7.28,7.21,#e9e6d7,#231e15,0.156,,41.042,,,,,,"[662, 547, 0]","[518, 569, 0]","[724, 747, 0]","[625, 711, 0]","[629, 580, 0]","[510, 735, 0]",0
76g,Kodak,Polylure,1984,0,N,Smooth,Luster,White,Single Weight,3.25 x 4.5,,0,,0,1,76,,-0.69,-0.44,#cfccce,#3d3c3d,6.123,,9.054,,,,,,"[649, 554, 0]","[615, 721, 0]","[577, 548, 0]","[629, 610, 0]","[533, 633, 0]","[771, 525, 0]",0
76h,Kodak,Ektalure,1984,0,R,Tweed,Luster,Cream White,Double Weight,3.25 x 4.5,,0,,0,1,76,,8.86,3.37,#ebe5d4,#2e2b27,0.128,,8.237,,,,,,"[798, 528, 0]","[539, 652, 0]","[742, 694, 0]","[598, 621, 0]","[745, 689, 0]","[676, 777, 0]",0
76i,Kodak,Elite Fine Art,1984,0,S,Ultra Smooth,High Luster,White,Premium Weight,3.25 x 4.5,,0,,0,1,76,,-1.67,-3.63,#e1dee2,#1d1d22,6.953,,60.747,,,,,,"[782, 787, 0]","[684, 787, 0]","[670, 568, 0]","[665, 791, 0]","[731, 593, 0]","[783, 511, 0]",0
76j,Kodak,Ektalure,1984,0,X,Tapestry,Luster,Cream White,Double Weight,3.25 x 4.5,,0,,0,1,76,,8.81,3.46,#e0d9c9,#292621,0.093,,9.437,,,,,,"[579, 636, 0]","[689, 699, 0]","[528, 636, 0]","[548, 718, 0]","[784, 696, 0]","[568, 743, 0]",0
80,Ansco,Convira,1957,0,GL (Glossy),Smooth,Glossy,Pure White,Single Weight,2.75 x 4.5,,0,,0,0,,v,3.46,,#e6e4dd,,0.25,0.03,34.538,0.177,1.292,0_2_1_2,0.0,0.0,"[29, -6, 0]","[73, -1, 0]","[131, -2, 0]","[205, -2, 0]","[296, -3, 0]","[31.0, 67.0, 2]",0
81,Kodak,Kodabromide,1948,0,G,Fine Grained,Luster,Cream White,Double Weight,5 x 7,,0,,0,0,,v,8.46,,#f3efde,,0.158,0.04,8.084,0.344,1.766,1_0_2_2,2.0,1.0,"[4, 23, 0]","[10, 37, 0]","[23, 48, 0]","[35, 59, 0]","[49, 71, 0]","[76.0, 46.0, 1]",1
82,Kodak,Kodabromide,1948,0,F,Smooth,Glossy,White,Single Weight,8 x 10,,0,,0,0,,v,3.27,,#dfdcd6,,0.145,0.018,37.091,0.176,1.241,0_2_1_1,0.0,0.0,"[14, -14, 0]","[93, -2, 0]","[141, 4, 0]","[227, -7, 0]","[300, -17, 0]","[40.0, 60.0, 2]",1
83,Kodak,Velox,1956,0,F,Smooth,Glossy,White,Single Weight,4 x 5,K07,0,,0,0,,v|b|l,-0.15,,#e7e7e7,,0.193,0.023,51.196,0.187,1.133,0_2_0_1,0.0,0.0,"[38, -2, 0]","[82, -8, 0]","[147, -10, 0]","[231, -12, 0]","[334, -13, 0]","[31.0, 59.0, 3]",0
84,Kodak,Velite,1957,0,F,Smooth,Glossy,White,Single Weight,2.75 x 4.5,,0,,0,0,,v,-0.46,,#e6e9e9,,0.111,0.022,51.262,0.18,1.114,0_2_0_1,0.0,0.0,"[37, -8, 0]","[82, -2, 0]","[147, -4, 0]","[231, -6, 0]","[334, -7, 0]","[47.0, 54.0, 1]",0
85,Kodak,Velox,1956,0,F,Smooth,Glossy,White,Single Weight,4 x 5,K07,0,,0,0,,v,-0.53,,#e7e7e8,,0.134,0.025,46.767,0.179,1.139,0_2_0_1,0.0,0.0,"[42, -9, 0]","[89, -3, 0]","[145, -10, 0]","[229, -12, 0]","[332, -13, 0]","[28.0, 60.0, 0]",0
86,Agfa Gevaert,Brovira,1970,1,1,,Glossy,Extra White,Single Weight,5 x 7,A09,0,,0,0,,v,-1.4,,#f3f2f5,,6.371,0.017,53.188,0.169,1.056,0_2_0_1,0.0,0.0,"[34, -5, 0]","[84, -3, 0]","[149, -5, 0]","[233, -7, 0]","[336, -8, 0]","[43.0, 66.0, 0]",0
87,Agfa Gevaert,Brovira,1970,1,111,,Glossy,Extra White,Double Weight,5 x 7,A09,0,,0,0,,v,0.7,,#f6f4f3,,5.967,0.014,62.845,0.28,1.191,1_2_1_1,0.0,1.0,"[42, -17, 0]","[69, -13, 0]","[129, -20, 0]","[217, -29, 0]","[310, -34, 0]","[30.0, 46.0, 1]",0
88,Ansco,Cykora,1958,0,Y (silk),Silk,High Sheen,Natural White,Double Weight,5 x 7,,0,,0,0,,v,9.65,,#f1eedb,,0.248,0.122,11.7,0.297,1.933,1_0_2_6,3.0,1.0,"[-11, 26, 0]","[-20, 43, 0]","[-35, 57, 0]","[-55, 71, 0]","[-80, 86, 0]","[71.0, 89.0, 0]",0
89,Agfa Gevaert,Brovira,1970,1,1,,Glossy,Extra White,Single Weight,8 x 10,A09,0,,0,0,,v,0.09,,#f6f4f4,,6.379,0.024,47.132,0.182,1.151,0_2_1_1,0.0,0.0,"[17, -15, 0]","[66, 0, 0]","[143, -19, 0]","[222, -18, 0]","[305, -20, 0]","[43.0, 73.0, 0]",0
90,Kodak,Azo,1920,0,F (Azo),Smooth,Glossy,White,Single Weight,3.25 x 5.5,,0,,0,0,,v,9.46,,#e9e5d2,,0.177,0.025,43.26,0.152,1.324,0_2_2_1,1.0,0.0,"[23, -16, 0]","[57, -19, 0]","[99, -25, 0]","[154, -31, 0]","[221, -37, 0]","[30.0, 42.0, 2]",1
91,Kodak,Velite,1956,0,F,Smooth,Glossy,White,Single Weight,2.5 x 3.5,,0,,0,0,,v,0.24,,#e5e7e6,,0.881,0.019,34.317,0.168,1.185,0_2_1_1,0.0,0.0,"[47, -21, 0]","[94, -5, 0]","[153, -14, 0]","[224, -1, 0]","[300, -18, 0]","[36.0, 52.0, 0]",1
92,Agfa Ansco,Convira,1939,0,,,Glossy,,Single Weight,2.25 x 4.5,,0,,0,0,,v,,,,,,0.018,56.94,0.164,,,,0.0,"[684, 705, 0]","[506, 796, 0]","[738, 518, 0]","[592, 618, 0]","[661, 787, 0]","[29.0, 42.0, 0]",1
93,Kodak,Azo,1943,0,F (Azo),Smooth,Glossy,White,Single Weight,5 x 7,,0,,0,0,,v,2.11,,#efeee9,,0.244,0.02,21.631,0.168,1.286,0_1_1_1,0.0,0.0,"[21, 2, 0]","[59, 6, 0]","[104, 8, 0]","[161, 10, 0]","[231, 12, 0]","[29.0, 58.0, 2]",1
94,Kodak,Kodabromide,1954,0,E,Fine Grained,Luster,White,Double Weight,4.25 x 5.5,,0,,0,0,,b|v|l,4.95,,#edeae0,,0.167,0.035,7.53,0.353,1.694,1_0_1_2,2.0,1.0,"[8, 11, 0]","[28, 27, 0]","[54, 38, 0]","[85, 47, 0]","[124, 56, 0]","[55.0, 47.0, 0]",0
95,Kodak,Kodabromide,1951,0,N,Smooth,Luster,White,Double Weight,8 x 10,,0,,0,0,,v,5.82,,#edebe0,,0.289,0.016,16.509,0.33,1.589,1_0_1_1,2.0,1.0,"[23, 27, 0]","[42, 26, 0]","[61, 28, 0]","[92, 39, 0]","[138, 47, 0]","[43.0, 29.0, 0]",0
96,Kodak,Kodabromide,1951,0,N,Smooth,Luster,White,Double Weight,8 x 10,,0,,0,0,,v,5.76,,#eceadf,,0.282,0.017,14.438,0.328,1.598,1_0_1_1,2.0,1.0,"[26, 20, 0]","[33, 20, 0]","[66, 37, 0]","[93, 40, 0]","[135, 49, 0]","[42.0, 34.0, 1]",1
97,Kodak,Velox,1938,0,F (Velox),Smooth,Glossy,White,Single Weight,2.5 x 4.25,K04,0,,0,0,,v,5.38,,#e9e6dc,,0.087,0.023,47.075,0.17,1.242,0_2_1_1,0.0,0.0,"[43, 7, 0]","[81, 7, 0]","[134, 2, 0]","[211, -3, 0]","[305, -6, 0]","[41.0, 57.0, 1]",0
98,Kodak,Velox,1908,0,Carbon (Velox),,Matte,,,5 x 7,,0,,0,0,,v,13.14,,#e3d9c1,,0.05,0.068,3.757,0.147,1.701,0_0_3_4,2.0,0.0,"[-3, -2, 0]","[1, 1, 0]","[2, 1, 0]","[4, 2, 0]","[6, 2, 0]","[38.0, 29.0, 0]",0
99,Kodak,Velox,1911,0,Carbon (Velox),,Matte,,,4 x 5,,0,,0,0,,v,11.78,,#e8dfc9,,0.098,0.057,3.427,0.157,1.655,0_0_2_4,2.0,0.0,"[-5, 4, 0]","[17, 7, 0]","[20, 3, 0]","[34, 4, 0]","[50, 5, 0]","[66.0, 17.0, 3]",1
100,Kodak,Velox,1911,0,Velvet (Velox),,Semi Glossy,,,4 x 5,,0,,0,0,,v,9.9,,#ebe5d2,,0.107,0.043,3.625,0.153,1.575,0_0_2_3,2.0,0.0,"[-6, 0, 0]","[11, -4, 0]","[28, -3, 0]","[39, -4, 0]","[56, -4, 0]","[60.0, 53.0, 0]",0
103,Kodak,Kodabromide,1952,0,E,Fine Grained,Luster,White,Double Weight,4.25 x 5.5,,0,,0,0,,v|b|l,7.23,,#f3eee0,,0.182,0.056,10.158,0.356,1.79,1_0_2_4,2.0,1.0,"[-16, 38, 0]","[-3, 25, 0]","[-4, 53, 0]","[-6, 57, 0]","[-5, 68, 0]","[86.0, 46.0, 1]",0
104,Kodak,Velox,1948,0,F,Smooth,Glossy,White,Single Weight,2.5 x 3.5,K04,0,,0,0,,v,0.04,,#e6e4e4,,0.212,0.017,27.946,0.169,1.206,0_1_1_1,0.0,0.0,"[20, 0, 0]","[58, 3, 0]","[103, 5, 0]","[160, 7, 0]","[230, 9, 0]","[36.0, 54.0, 3]",0
105,Kodak,Velox,1946,0,F,Smooth,Glossy,White,Single Weight,2.5 x 3.5,K04,0,,0,0,,v,-0.17,,#e7e5e5,,0.138,0.021,27.957,0.161,1.203,0_1_0_1,0.0,0.0,"[27, 2, 0]","[68, 7, 0]","[122, 10, 0]","[191, 13, 0]","[275, 15, 0]","[39.0, 68.0, 0]",1
106,Kodak,Velox,1948,0,F,Smooth,Glossy,White,Single Weight,2.5 x 3.5,K04,0,,0,0,,v,0.76,,#e1e0df,,0.148,0.016,31.772,0.175,1.209,0_1_1_1,0.0,0.0,"[24, -2, 0]","[59, 8, 0]","[104, 10, 0]","[161, 12, 0]","[231, 14, 0]","[30.0, 55.0, 0]",0
107,Kodak,Velox,1943,0,F (Velox),Smooth,Glossy,White,Single Weight,2.5 x 3.5,K04,0,,0,0,,v,1.45,,#edeae8,,0.235,,48.058,0.168,,,,0.0,"[767, 769, 0]","[544, 662, 0]","[574, 646, 0]","[626, 756, 0]","[549, 670, 0]","[507, 792, 0]",1
108,Kodak,Velox,1945,0,F,Smooth,Glossy,White,Single Weight,2.5 x 3.5,K04,0,,0,0,,v,-0.44,,#e7e6e7,,0.152,0.029,38.72,0.167,1.174,0_2_0_1,0.0,0.0,"[45, -9, 0]","[90, -8, 0]","[155, -9, 0]","[227, -11, 0]","[330, -12, 0]","[30.0, 70.0, 2]",0
109,Kodak,Velox,1962,0,F,Smooth,Glossy,White,Single Weight,2.75 x 4.5,K07,0,,0,0,,v,-2.75,,#e6e8ed,,2.33,0.019,63.058,0.175,0.995,0_2_0_1,0.0,0.0,"[44, -6, 0]","[83, 2, 0]","[147, -12, 0]","[231, -14, 0]","[334, -15, 0]","[35.0, 61.0, 1]",1
110,Ansco,Convira,1950,0,GL (Glossy),Smooth,Glossy,Pure White,Single Weight,2.75 x 4.5,,0,,0,0,,v,2.0,,#e9e9e5,,0.181,0.027,48.747,0.178,1.186,0_2_1_1,0.0,0.0,"[25, -6, 0]","[78, -10, 0]","[139, -6, 0]","[217, -8, 0]","[312, -10, 0]","[47.0, 62.0, 2]",0
111,Kodak,Velox,1962,0,F,Smooth,Glossy,White,Single Weight,4 x 5,K07,0,,0,0,,v,-2.51,,#e7e8ed,,2.896,0.022,56.396,0.175,1.039,0_2_0_1,0.0,0.0,"[35, 1, 0]","[89, -7, 0]","[149, -11, 0]","[233, -13, 0]","[336, -14, 0]","[30.0, 59.0, 1]",1
112,DuPont Defender,Apex,1947,0,A,,Semi Matte,White,Single Weight,3.25 x 4.25,,0,,0,0,,v,4.79,,#e9e6dd,,0.097,0.026,13.934,0.201,1.437,0_0_1_1,1.0,0.0,"[20, -6, 0]","[37, 14, 0]","[65, 14, 0]","[112, 14, 0]","[159, 16, 0]","[78.0, 41.0, 0]",1
113,DuPont,Varigam,1956,0,DL,Velvet Grain,Luster,Natural White,Double Weight,5 x 7,,0,,0,0,,v,11.07,,#f4edd8,,0.148,0.058,6.185,0.368,1.909,1_0_2_4,3.0,1.0,"[-18, 36, 0]","[-4, 44, 0]","[-5, 52, 0]","[7, 55, 0]","[8, 66, 0]","[78.0, 19.0, 2]",1
114,DuPont,Varigam,1948,0,,,,,,0.5 x 1,,0,,0,0,,,9.63,,#f1ebd9,,0.196,0.107,,0.321,,,,1.0,"[692, 769, 0]","[767, 635, 0]","[501, 701, 0]","[761, 762, 0]","[708, 584, 0]","[65.0, 91.0, 1]",1
115,Agfa,Brovira,1960,1,1,,Glossy,White,Single Weight,5 x 7,A03,0,,0,0,,v,2.05,,#f3f3ef,,3.385,0.015,59.875,0.186,1.113,0_2_1_1,0.0,0.0,"[39, -24, 0]","[91, -13, 0]","[144, -20, 0]","[215, -21, 0]","[313, -4, 0]","[43.0, 66.0, 1]",1
116,Kodak,Medalist,1962,0,F,Smooth,Glossy,White,Single Weight,5 x 7,,0,,0,0,,v,1.36,,#eaeae7,,0.495,0.019,62.226,0.171,1.079,0_2_1_1,0.0,0.0,"[43, -23, 0]","[64, -12, 0]","[148, 0, 0]","[208, -19, 0]","[308, -24, 0]","[30.0, 54.0, 0]",0
117,Kodak,Kodabromide,1946,1,F,Smooth,Glossy,White,Double Weight,8 x 10,,0,,0,0,,v,3.92,,#ede9e2,,0.207,0.018,48.231,0.313,1.382,1_2_1_1,1.0,1.0,"[33, -17, 0]","[75, -19, 0]","[133, -24, 0]","[209, -30, 0]","[302, -35, 0]","[33.0, 62.0, 1]",0
119,Agfa Gevaert,Brovira Speed ,1980,1,319,Fine Grained,Semi Matte,White,Medium Weight,8 x 10,A12,0,,0,0,,b|v|l,3.41,,#e5ddd8,,3.229,0.025,11.847,0.225,1.446,1_0_1_1,1.0,1.0,"[27, 26, 0]","[43, 27, 0]","[59, 27, 0]","[92, 38, 0]","[141, 59, 0]","[38.0, 80.0, 0]",0
122,Agfa Gevaert,Multicontrast Highspeed,2000,1,310,,Glossy,,Medium Weight,8 x 10,,0,,1,0,,v,0.52,,#e3dbdc,,4.391,0.008,98.146,0.238,0.947,1_4_1_0,0.0,1.0,"[48, -52, 0]","[104, -54, 0]","[178, -86, 0]","[277, -95, 0]","[402, -116, 0]","[17.0, 14.0, 1]",1
124,Kodak,Azo,1958,0,F,Smooth,Glossy,White,Single Weight,4 x 5,,0,,0,0,,b|v,1.65,,#ebe9e6,,0.173,0.025,48.051,0.179,1.179,0_2_1_1,0.0,0.0,"[28, 0, 0]","[82, -10, 0]","[137, -5, 0]","[215, -7, 0]","[310, -9, 0]","[38.0, 63.0, 1]",0
125,Kodak,Azo,1974,0,E,Fine Grained,Luster,White,Single Weight,4 x 5,,0,,0,0,,v,4.25,,#f5f3ea,,0.172,0.033,9.366,0.179,1.438,0_0_1_2,1.0,0.0,"[14, 0, 0]","[37, 5, 0]","[66, 7, 0]","[103, 9, 0]","[149, 11, 0]","[56.0, 30.0, 2]",0
126,Kodak,Velox,1975,0,F,Smooth,Glossy,White,Single Weight,4 x 5,K11,0,,0,0,,v,0.49,,#ebeceb,,2.113,0.017,56.795,0.166,1.074,0_2_1_1,0.0,0.0,"[48, -1, 0]","[73, 6, 0]","[149, -6, 0]","[207, -8, 0]","[320, -12, 0]","[32.0, 52.0, 0]",0
128,Kodak Canada,Velox,1912,0,,,,,,3.25 x 5.5,,0,,0,0,,v|b,11.2,,#e6e0cb,,0.138,0.063,6.114,0.159,1.651,0_0_2_4,2.0,0.0,"[5, 1, 0]","[11, 4, 0]","[21, 5, 0]","[33, 7, 0]","[49, 8, 0]","[59.0, 26.0, 1]",0
129,Agfa,Lupex,1935,1,1,,Glossy,White,Single Weight,6.5 x 9,A02,0,,0,0,,v,6.7,,#ddd6ca,,0.21,0.017,62.258,0.16,1.167,0_2_2_1,0.0,0.0,"[18, -16, 0]","[57, -20, 0]","[99, -26, 0]","[154, -32, 0]","[221, -38, 0]","[30.0, 37.0, 0]",0
130,Kodak,Azo,1951,0,E,Fine Grained,Luster,White,Double Weight,4.25 x 5.5,,0,,0,0,,v,6.59,,#f7f4e7,,0.313,0.025,7.485,0.358,1.709,1_0_1_1,2.0,1.0,"[29, 21, 0]","[25, 23, 0]","[67, 40, 0]","[94, 37, 0]","[142, 58, 0]","[75.0, 9.0, 0]",0
131,Kodak,Panalure,1965,0,E,Fine Grained,Luster,White,Double Weight,5 x 7,,0,,0,0,,v,2.36,,#eeeee9,,0.232,0.034,16.198,0.336,1.575,1_0_1_2,2.0,1.0,"[19, 24, 0]","[38, 32, 0]","[56, 34, 0]","[84, 48, 0]","[123, 57, 0]","[76.0, 48.0, 0]",1
132,Kodak,Velox,1916,0,Glossy (Velox),,Enameled,,,3.25 x 4.25,,0,,0,0,,v,10.9,,#e0dac6,,0.125,0.028,57.649,0.134,1.271,0_2_2_1,0.0,0.0,"[19, -12, 0]","[57, -16, 0]","[99, -22, 0]","[154, -28, 0]","[221, -34, 0]","[37.0, 40.0, 2]",1
133,Kodak,Kodabromide,1959,0,E,Fine Grained,Luster,White,Double Weight,5 x 7,,0,,0,0,,v,,,,,,0.039,9.137,0.347,,,,1.0,"[635, 669, 0]","[511, 787, 0]","[724, 749, 0]","[526, 657, 0]","[503, 656, 0]","[89.0, 42.0, 0]",0
134,Kodak,Velox,1948,0,F,Smooth,Glossy,White,Single Weight,2.5 x 3.5,K04,0,,0,0,,v|b,-0.44,,#e5e4e5,,0.225,0.017,41.031,0.177,1.146,0_2_0_1,0.0,0.0,"[44, -3, 0]","[85, 2, 0]","[149, -12, 0]","[233, -14, 0]","[336, -15, 0]","[47.0, 62.0, 0]",1
135,Kodak,Velox,1948,0,F,Smooth,Glossy,White,Single Weight,2.75 x 4.5,K04,0,,0,0,,v,-0.21,,#e5e4e5,,0.214,0.02,43.858,0.174,1.14,0_2_0_1,0.0,0.0,"[43, -7, 0]","[86, -10, 0]","[154, -4, 0]","[238, -6, 0]","[341, -7, 0]","[38.0, 61.0, 1]",1
136,Kodak,Azo,1948,0,F,Smooth,Glossy,White,Single Weight,2.5 x 3.5,,0,,0,0,,v,1.35,,#e6e6e3,,0.16,0.02,29.266,0.176,1.246,0_1_1_1,0.0,0.0,"[21, -1, 0]","[55, 4, 0]","[100, 6, 0]","[157, 8, 0]","[227, 10, 0]","[38.0, 50.0, 0]",0
137,Kodak,Azo,1948,0,F,Smooth,Glossy,White,Single Weight,2.5 x 3.5,,0,,0,0,,v,1.01,,#e8e7e5,,0.203,0.017,23.939,0.177,1.258,0_1_1_1,0.0,0.0,"[21, -2, 0]","[56, 8, 0]","[101, 10, 0]","[158, 12, 0]","[228, 14, 0]","[38.0, 54.0, 0]",1
138,Ansco,Convira,1950,0,GL (Glossy),Smooth,Glossy,Pure White,Single Weight,2.5 x 3.5,,0,,0,0,,v,1.15,,#ebebe9,,0.177,0.03,42.793,0.181,1.209,0_2_1_1,0.0,0.0,"[47, 2, 0]","[73, 7, 0]","[129, -2, 0]","[208, -6, 0]","[320, -10, 0]","[41.0, 67.0, 0]",1
139,Kodak,Azo,1961,0,F,Smooth,Glossy,White,Single Weight,8 x 10,,0,,0,0,,v|b,2.39,,#ebeae5,,0.26,0.021,54.703,0.168,1.137,0_2_1_1,0.0,0.0,"[24, -4, 0]","[79, -11, 0]","[142, -7, 0]","[220, -9, 0]","[315, -11, 0]","[36.0, 57.0, 0]",0
140,DuPont,Varigam,1958,0,I,Rough,Matte,White,Medium Weight,5 x 7,,0,,0,0,,v,7.49,,#ede9db,,0.151,0.108,3.89,0.261,1.841,1_0_2_5,2.0,1.0,"[-8, 32, 0]","[-13, 40, 0]","[-28, 49, 0]","[-46, 62, 0]","[-67, 75, 0]","[73.0, 12.0, 0]",1
141,Kodak,Velox,1977,0,F,Smooth,Glossy,White,Single Weight,2.5 x 3.5,K11,0,,0,0,,v,0.63,,#e9eae9,,1.582,0.02,50.684,0.16,1.106,0_2_1_1,0.0,0.0,"[39, 4, 0]","[69, -3, 0]","[138, -3, 0]","[210, -8, 0]","[305, -10, 0]","[37.0, 53.0, 0]",0
142,Kodak,Kodabromide,1963,0,F,Smooth,Glossy,White,Single Weight,8 x 10,,0,,0,0,,v|b,0.97,,#e6e6e4,,0.408,0.016,63.032,0.178,1.068,0_2_1_1,0.0,0.0,"[51, -10, 0]","[92, 1, 0]","[146, -21, 0]","[208, -3, 0]","[300, -14, 0]","[31.0, 53.0, 1]",0
143,Kodak,Velox,1950,0,F,Smooth,Glossy,White,Single Weight,2.75 x 4.5,K04,0,,0,0,,v,0.86,,#e4e2e1,,0.13,0.02,35.49,0.171,1.199,0_2_1_1,0.0,0.0,"[34, -27, 0]","[64, -15, 0]","[138, 5, 0]","[228, -13, 0]","[313, -25, 0]","[35.0, 61.0, 0]",1
145,Kodak,Medalist,1959,0,F,Smooth,Glossy,White,Single Weight,8 x 10,,0,,0,0,,v|b,,,,,,0.025,49.903,0.173,,,,0.0,"[766, 687, 0]","[589, 551, 0]","[686, 641, 0]","[698, 772, 0]","[577, 735, 0]","[36.0, 64.0, 0]",1
146,Kodak,Vitava Opal,1947,0,G,Fine Grained,Luster,Cream White,Double Weight,5 x 7,,0,,0,0,,v,8.75,,#f3eedd,,0.212,0.05,6.554,0.33,1.787,1_0_2_3,2.0,1.0,"[2, 21, 0]","[9, 33, 0]","[15, 44, 0]","[22, 55, 0]","[31, 67, 0]","[86.0, 23.0, 4]",1
147,Kodak,Kodabromide,1961,0,F,Smooth,Glossy,White,Single Weight,4 x 5,,0,,0,0,,v,-0.73,,#e7e7e9,,0.534,0.02,60.597,0.18,1.057,0_2_0_1,0.0,0.0,"[38, 1, 0]","[84, 1, 0]","[154, -7, 0]","[238, -9, 0]","[341, -10, 0]","[39.0, 60.0, 0]",0
148,Kodak,Kodabromide,1961,0,F,Smooth,Glossy,White,Single Weight,4 x 5,,0,,0,0,,v,-0.66,,#efeff0,,6.782,0.012,64.631,0.169,1.004,0_2_0_0,0.0,0.0,"[46, -35, 0]","[112, -48, 0]","[200, -63, 0]","[313, -79, 0]","[452, -95, 0]","[32.0, 54.0, 1]",0
149,Kodak,Medalist,1963,0,G,Fine Grained,Luster,Cream White,Double Weight,4 x 5,,0,,0,0,,v,8.13,,#f5f0e1,,0.351,0.046,9.749,0.359,1.788,1_0_2_3,2.0,1.0,"[2, 33, 0]","[3, 39, 0]","[16, 49, 0]","[24, 58, 0]","[33, 70, 0]","[88.0, 39.0, 1]",0
150,DuPont Defender,Velour Black,1947,0,R,,Glossy,White,Single Weight,5 x 7,,0,,0,0,,v,1.57,,#e5e3e0,,0.104,0.023,57.822,0.184,1.133,0_2_1_1,0.0,0.0,"[42, 6, 0]","[81, 6, 0]","[128, -9, 0]","[211, -4, 0]","[317, -7, 0]","[37.0, 65.0, 0]",0
151,Agfa,Brovira,1960,1,1,,Glossy,White,Single Weight,5 x 7,A03,0,,0,0,,v,-1.8,,#f2f1f5,,7.864,0.014,64.573,0.163,0.979,0_2_0_1,0.0,0.0,"[40, 2, 0]","[87, -11, 0]","[152, -12, 0]","[236, -14, 0]","[339, -15, 0]","[43.0, 66.0, 4]",0
152,DuPont Defender,Apex,1949,0,R,,Glossy,White,Single Weight,2.75 x 4.5,,0,,0,0,,b|v,2.99,,#e3e2dc,,0.135,0.025,44.084,0.173,1.216,0_2_1_1,0.0,0.0,"[42, 2, 0]","[69, -8, 0]","[136, -3, 0]","[210, -9, 0]","[305, -11, 0]","[42.0, 73.0, 2]",0
153,Gevaert,Gevatone,1940,1,K48,Pelligran,Semi Matte,White,Double Weight,postcards,,1,,0,0,,v|b|l,12.02,,#f4efd7,,0.181,0.07,5.843,0.318,1.897,1_0_3_4,3.0,1.0,"[-11, 18, 0]","[-17, 31, 0]","[-30, 41, 0]","[-46, 51, 0]","[-66, 61, 0]","[66.0, 49.0, 0]",1
